station,bus_stop_count,bus_stop_min_dist,win_count,win_min_dist,songtaew_count,songtaew_min_dist,minibus_count,minibus_min_dist,taxi_count,taxi_min_dist,tuktuk_count,tuktuk_min_dist,kiss_ride_count,kiss_ride_min_dist,park_ride_car_count,park_ride_car_min_dist,park_ride_moto_count,park_ride_moto_min_dist,bike_parking_count,bike_parking_min_dist,bike_share_count,bike_share_min_dist,scooter_share_count,scooter_share_min_dist
MRT สามยอด,3,17.0,3,45.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0
MRT สามย่าน,2,70.0,2,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,30.0,0,0.0,0,0
MRT สิรินธร,7,101.0995402,7,20.97618986,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,13.45772728,0,0.0,0,0
MRT สุทธิสาร,4,48.162708,4,82.56118476,0,0.0,0,0.0,0,0.0,0,0.0,4,296.3358147,0,0.0,0,0.0,2,9.792151459,0,0.0,0,0
MRT หลักสอง,4,20.86137019,4,22.4611779,1,90.21625991,0,0.0,4,11.71556967,0,0.0,0,0.0,4,133.3418897,0,0.0,4,11.18706852,0,0.0,0,0
MRT ห้วยขวาง,4,15.78183332,4,17.33342803,0,0.0,0,0.0,0,0.0,2,57.62400543,0,0.0,2,42.07529835,2,43.91083378,2,30.32956195,0,0.0,0,0
MRT อิสรภาพ,2,25.0,2,25.0,0,0.0,0,0.0,0,0.0,1,30.13145259,2,25.0,0,0.0,0,0.0,2,20.0,1,60.0,0,0
MRT เพชรเกษม48,4,66.86114499,2,9.174404949,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,5.995973931,0,0.0,0,0
MRT แยกลำสาลี,4,69.0,4,3.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,5.0,0,0.0,0,0
MRT โชคชัย 4,5,6.0,5,6.0,0,0.0,3,120.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,5.0,0,0.0,0,0
MRT ไฟฉาย,4,130.0,2,150.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,315.0,0,0.0,0,0
